"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL124W",405.081640026779,0.235751910962645,0.173417142960879,39.0049182071034,3.38992139359936e-09,1.94144036148049e-08
"YDL125C",220.865589363653,-0.527782515635605,0.230460112597959,11.3668063379847,0.0034019612719072,0.00692651574280205
"YDL126C",1616.17025584443,1.02755420865865,0.230570883761803,22.6984735520321,1.17784758104921e-05,3.9639360745963e-05
"YDL127W",18.3274009987016,0.55476233611751,0.452235849903665,4.39510336295837,0.111074772149974,0.15189093813201
"YDL128W",176.466936170008,-0.279990569313842,0.219659960153309,7.64352850781161,0.0218891487919751,0.0360074648173355
"YDL129W",26.5086441848924,1.39363706385888,0.371673220520345,22.1576595933442,1.5435665314361e-05,5.07554389407863e-05
"YDL130W",301.902748696186,1.43617841731774,0.177149460877822,66.9175554719528,2.94467560205939e-15,3.30208279345439e-14
"YDL130W-A",785.843897518559,4.05872294395675,0.378921906385698,112.277456340501,4.16159808103866e-25,1.1480540058302e-23
"YDL131W",171.044132320252,0.350677429276385,0.230127814332941,15.5627233302769,0.000417443369354423,0.00103454122240683
"YDL132W",185.32507332942,0.59288010110703,0.174332434224775,14.1608185569532,0.000841428699239348,0.00194654922705922
"YDL133C-A",349.398693266568,1.63947081631348,0.217077662504144,61.6093498217412,4.18504054072902e-14,4.20364072091003e-13
"YDL133W",66.3880746202102,-0.0919931969002928,0.255337055303787,0.13247536621661,0.935908388238461,0.94648907375462
"YDL134C",233.560041112261,-0.0520671818246077,0.198825131968909,1.52227575573447,0.467134582377868,0.52174164722531
"YDL135C",56.977466277349,-0.279520155651215,0.330877873867137,5.17696792238613,0.0751338596330199,0.107969322377996
"YDL136W",329.673846682759,1.06352716481371,0.260377561519169,17.2817965948105,0.000176728076544297,0.000474179989851274
"YDL137W",386.48670138648,-0.369104997115794,0.179559286342559,8.79458289344053,0.0123106388079008,0.0217033644270102
"YDL138W",67.4970430802513,-1.71101394756983,0.328628438826251,36.6264327266993,1.11345119957956e-08,5.94785386248138e-08
"YDL139C",34.8829640321816,0.316534777352964,0.370424809984819,5.81628483540925,0.0545770170660491,0.0812090535021789
"YDL140C",712.594901064768,-0.103613662374919,0.226930141493249,3.25443919043431,0.196475095685852,0.248724612618756
"YDL141W",15.7965587691689,0.20489458788799,0.428796985904301,0.813870036640367,0.665687446384578,0.706826786222585
"YDL142C",43.7087277002548,-0.34957860209209,0.319156135452306,1.27155393230292,0.529523906294043,0.580825550379653
"YDL143W",205.929412535671,0.0119776968730082,0.193538362658389,4.21252219992229,0.12169211154332,0.164344483435657
"YDL144C",42.9132140859197,0.824606219837624,0.356403911506029,16.7120474682809,0.000234976808919104,0.000615295779504749
"YDL145C",277.875188976692,-0.606293390764242,0.216081811515974,10.54821613838,0.00512252360792139,0.00989804298590795
"YDL146W",20.663538748663,-0.902376503073725,0.428568004204311,5.93550973535488,0.0514186224492436,0.0771344971947294
"YDL147W",601.696959174457,0.784124679347811,0.216756805619414,14.6842751371853,0.000647664612700199,0.00154388529988899
"YDL148C",86.8845094617169,1.17278445668636,0.416068372857884,7.81277958267759,0.0201129822095014,0.0334514246994141
"YDL149W",104.037364419972,-0.867438711944939,0.247546003417179,19.08337513424,7.17955854976451e-05,0.000209677365996105
"YDL150W",31.509076590455,0.40595884038922,0.357114813012544,1.33717086367317,0.512432936656336,0.564820096753448
"YDL153C",115.319451762039,0.677253948482993,0.30201995424556,7.40416499038265,0.0246720934184817,0.0400589170840007
"YDL154W",31.3276582488347,0.0794036221175409,0.332943725433875,0.0867749848563761,0.957540278562597,0.965592359161459
"YDL155W",51.1929450371108,-0.445945976300706,0.272483662193266,2.98678139981178,0.224609778571832,0.279442527818777
"YDL156W",27.5739735242073,0.427389884144982,0.354688299882484,1.46119964236161,0.481620017545316,0.535275056382878
"YDL157C",44.1259993885385,1.08497857835511,0.285932049740744,14.8473622176951,0.000596947666721214,0.00143933709054323
"YDL159W",78.7339653225309,0.0107990577138437,0.247577598986061,0.0462361064863046,0.977147121577231,0.980651833712692
"YDL160C",232.207874377296,0.545616449351248,0.20473322353481,8.54918926413772,0.0139176893605351,0.0242455803980149
"YDL160C-A",11.5808613046358,0.244840436258366,0.507758521842988,1.63845143157479,0.440772805839818,0.496069911341653
"YDL161W",128.24015167655,0.895895893002697,0.369563177604291,21.8668427379841,1.78515294668485e-05,5.80389730305467e-05
"YDL164C",38.8754916200458,0.0164878304220163,0.300844327184287,5.54262679169171,0.0625797587480283,0.0917690697288281
"YDL165W",70.0518080391378,0.971191197526041,0.239873136313746,23.7741536958465,6.8787277173516e-06,2.39168955900742e-05
"YDL166C",33.3709964546546,0.884769026561888,0.372170892372196,23.1299203516259,9.49295915409798e-06,3.23929314689197e-05
"YDL167C",28.0317610905135,0.362858467481439,0.373239209900941,10.6219725140668,0.00493705511041931,0.00960918709136267
"YDL168W",772.456339796905,1.79427442287267,0.163053721454083,116.036641570009,6.35277441250787e-26,1.84796546771763e-24
"YDL169C",46.3952964435705,-0.0381573031335207,0.29975817673177,7.45864619108295,0.0240090821922546,0.0391012657876076
"YDL170W",140.175215615403,-0.386877637950864,0.190443108135706,16.4656369554593,0.00026578616120564,0.000687091721620916
"YDL171C",1423.56394420039,-0.636685946032933,0.275054339085154,6.63626651037893,0.0362203828958646,0.0565588546096467
"YDL173W",80.2190914582607,0.732527204460037,0.357618020649925,4.22861587007318,0.120716804521837,0.16321489723201
"YDL174C",331.801267684358,0.471925309197132,0.179188598310018,31.7722772329646,1.26106554532239e-07,5.87630542768784e-07
"YDL175C",50.8094808434986,0.650426616230252,0.264850132808157,8.21720458320569,0.0164307238450183,0.0280008507289234
"YDL176W",45.7050558053065,-0.787771656230626,0.292593221853543,8.53525833896396,0.0140149709172711,0.0243861323985445
"YDL177C",13.9157082343439,0.366347162781809,0.542946099927754,11.277564040408,0.00355719836452355,0.0072200682521383
"YDL178W",133.114685291803,-0.271838852753766,0.228961642793273,2.72696322240562,0.255768737685228,0.312842860665778
"YDL179W",22.8767845852102,0.659290669415016,0.385915925114774,5.65563241166206,0.0591418664125521,0.0873598811061227
"YDL180W",99.1935638124871,0.379648962712168,0.255826941255216,28.2884530118854,7.19847461835957e-07,2.95834639037935e-06
"YDL181W",404.65497444475,1.88559817450587,0.178237414133928,107.918005533311,3.68046633346117e-24,9.32173283423183e-23
"YDL182W",183.831953442627,0.0359984691033651,0.232666415827396,1.82526262922104,0.401466448442352,0.457617235896655
"YDL183C",37.4284000875207,-1.15559395705314,0.329814192979318,12.9240274508157,0.00156164781207919,0.00341886830990213
"YDL184C",128.040361793383,3.0364921948069,0.294279761237687,110.898961980543,8.29079890792682e-25,2.23471258637514e-23
"YDL185W",974.12037410306,-0.645500614921752,0.208308621347366,10.7666256464737,0.00459258228749044,0.00898336002706186
"YDL186W",7.96201525772608,-0.429235649938148,0.576342831487971,5.55670644225571,0.0621407552472757,0.0911480473871673
"YDL188C",153.131796851215,-1.03377697727868,0.248896142219155,20.3817376927299,3.75112808948027e-05,0.000115522162755692
